category,description
Allowance,From dad
Food,Snacks
Other,From dad
Household,Stuffs
Transportation,Metro
Food,Dinner
Food,Lunch with company
Transportation,Rapido to pg
Food,Dinner
Other,Gundan + prasanna
Other,From dad
Food,Snacks
Food,Eve snack
Food,Lunch with company
Food,Snack with preethi
Food,Dinner
Food,Lunch + chocolate for preethi
Other,From vicky
Food,Snacks
Food,Lunch with company
Other,From dad
Food,Snacks with preethi and azar
apparel,Badminton
Other,From vicky
Food,Lemon tea
Food,Paani poori
Other,Vishnu 100 gowdham 25
Food,Snacks
salary,office
Food,Zinger box meal
Other,To vishnu
Food,Lunch with company
Food,Banana
Other,Sent to barath
Food,Brunch
Food,Cycle gap 
Food,Dinner
Other,To vicky
Transportation,Train to vnr
Food,Dinner with barath
Other,Tablet to gowdham
Food,Parotta
Food,Brownie
apparel,Games 
Food,Kfc 
Food,Side dishes
Food,Lunch
Food,Kfc dinner
Transportation,To egmore
Other,To auto anna
Transportation,Metro
Transportation,Bus ticket
Food,Snacks
Food,Random stuff for drinks
Food,Lunch
Transportation,Train cbe to chn
Household,Stuffs
Transportation,It better be worth it
Food,Eggs
Apparel,Hoodie for gobi
Food,Creamstone
Food,Tea lights
Other,To karthi
Food,Lunch
salary,office
Food,Pizza
Other,From abi
Food,Lunch unlimited nv
Other,From shakur
Other,From barath
Food,Dairy milk
Other,To gowdham
Food,Good soup
Transportation,Bus to Bangalore
salary,office
Household,Stuffs
Apparel,Earphone
Transportation,To ksr station
Food,Sent to preethi
Other,To vicky
Food,Lunch with company
Education,Arrear and reval fee
Other,To lended people
Transportation,Took from sbi
Food,Ramen with gobi
Salary,office
Household,Stuffs
Food,Shawarma
Transportation,Cab
Food,Lunch with company
Transportation,Refund for bus ticket
Other,To abijith and to vicky lend money returned
Other,To gobi 1st 1/4th
Other,Lended money returned to kumara
Food,Jan 2nd with shakur and barath
Other,Lended money returned to vishnu
apparel,Spiderman 
salary,office
Household,Stuffs
Transportation,Vnr to apk
Transportation,Rapido to pg
Food,Bingo
